County,Days_on_Market,Days_On_Market_Growth_YoY,Avg_Home_Value,Home_Value_Growth_YoY,Inventory_Surplus_Deficit,Population,Sale_Inventory_Growth_YoY,Sale_Inventory_Growth_MoM,Home_Sales_Growth_YoY,Price_Cut_Percentage,Population_Growth,Cap_Rate,Home_Price_Forecast,Vacancy_Rate,Median_Age,Housing_Unit_Growth_Rate
"Abbeville, SC",49.0,,202703.0,0.3,24.9,24352.0,2.7,1.7,5.5,27.0,,4.4,45.0,18.6,44.3,
"Acadia, LA",94.0,49.0,149282.0,,7.5,57218.0,7.7,8.2,4.1,28.5,,8.2,44.0,14.0,37.0,
"Accomack, VA",,,,,,,68.5,,,14.4,1.7,,50.0,34.6,47.5,3.0
"Ada, ID",,,,,,,29.6,24.7,,24.0,11.6,4.0,43.0,3.8,38.8,17.0
"Adair, IA",57.0,119.2,175169.0,3.7,25.2,7471.0,157.1,44.0,,17.3,4.8,,48.0,9.3,42.6,
"Adair, KY",65.0,9.7,166557.0,9.3,56.6,19016.0,91.8,,44.4,19.3,,,36.0,19.0,40.1,0.4
"Adair, MO",59.0,,179170.0,2.2,23.4,25224.0,35.0,5.0,,13.8,,4.8,45.0,21.6,29.8,
"Adair, OK",85.0,,166216.0,8.0,7.7,19595.0,,4.6,,12.3,,,49.0,14.7,38.1,
"Adams, CO",42.0,55.5,508116.0,,96.2,533365.0,59.1,11.8,,37.6,4.1,4.0,23.0,3.6,35.1,13.9
"Adams, IA",110.0,120.0,158014.0,8.8,18.5,3641.0,,,0.0,26.6,,,37.0,19.1,46.6,
"Adams, ID",,,,,,,7.8,30.1,,24.4,14.4,,44.0,34.2,54.3,
"Adams, IL",47.0,,180961.0,,,65166.0,,,,19.8,,5.2,56.0,8.2,41.1,0.0
"Adams, IN",26.0,,236797.0,7.3,,35995.0,,,,27.5,2.2,,57.0,6.8,33.2,0.1
"Adams, MS",79.0,8.2,116684.0,6.9,,29098.0,17.6,4.0,136.3,10.0,,,52.0,22.4,42.1,1.8
"Adams, ND",,,,,,,33.3,41.1,100.0,26.6,,,46.0,23.7,50.0,
"Adams, NE",39.0,50.0,208380.0,3.4,61.8,31034.0,84.2,12.9,14.2,16.6,,,38.0,6.8,38.8,
"Adams, OH",51.0,22.8,176217.0,7.1,16.4,27510.0,42.8,11.1,,24.7,,,48.0,19.6,42.3,
"Adams, PA",35.0,,324760.0,4.6,,106748.0,52.3,9.7,2.5,21.1,3.8,4.1,55.0,5.0,44.6,3.4
"Adams, WA",,,,,,,26.3,29.0,,20.5,6.3,,37.0,7.9,29.2,4.8
"Adams, WI",50.0,,245841.0,8.2,,20928.0,26.9,4.6,,29.0,4.2,,55.0,44.5,55.5,
"Addison, VT",,,,,,,36.2,16.9,,13.1,1.5,5.4,59.0,16.4,44.0,1.0
"Aiken, SC",53.0,,224466.0,1.7,14.2,177130.0,14.1,3.9,,21.4,4.5,7.1,47.0,13.1,41.7,5.0
"Aitkin, MN",,,,,,,24.3,14.2,5.0,23.1,0.6,,56.0,51.1,56.5,
"Alachua, FL",58.0,9.5,309628.0,,55.9,285994.0,32.2,6.1,,28.0,5.9,6.1,36.0,6.4,33.4,9.4
"Alamance, NC",50.0,11.1,291545.0,1.5,67.3,179165.0,46.2,5.7,,20.3,7.6,5.8,38.0,9.5,39.4,9.4
"Alameda, CA",,,,,,,53.2,12.4,,21.8,,2.4,31.0,5.8,39.5,5.0
"Alamosa, CO",50.0,,314149.0,3.9,39.1,16515.0,18.5,,,18.1,0.4,,41.0,8.0,33.1,3.0
"Albany, NY",,,,,,,10.4,31.6,,8.6,3.1,4.1,63.0,9.1,38.9,4.3
"Albany, WY",40.0,34.4,375676.0,7.7,32.2,37713.0,50.9,,,9.6,,3.5,45.0,11.3,28.7,
"Albemarle, VA",42.0,9.0,549397.0,4.5,,115676.0,50.4,9.4,,17.1,6.4,4.0,54.0,6.2,42.1,8.6
"Alcona, MI",,,,,,,28.2,32.7,25.0,8.6,,,61.0,50.5,59.7,
"Alcorn, MS",85.0,14.8,163311.0,5.9,10.8,34500.0,35.9,1.4,,20.2,,,45.0,12.0,40.6,
"Alexander, IL",114.0,230.4,61724.0,,8.3,5042.0,30.0,,,0.0,,11.7,41.0,38.3,45.8,
"Alexander, NC",62.0,57.9,254775.0,4.5,34.3,36440.0,23.2,12.2,50.0,32.6,,5.9,45.0,13.8,43.8,
"Alexandria, VA",23.0,22.6,690599.0,2.6,32.4,155230.0,96.9,6.8,,23.5,,3.4,45.0,5.8,38.2,6.6
"Alfalfa, OK",139.0,273.1,85418.0,,44.4,5685.0,23.8,13.0,0.0,0.0,,,29.0,23.7,44.4,
"Alger, MI",,,,,,,16.0,70.9,,6.8,,,61.0,43.7,48.8,
"Allamakee, IA",40.0,11.1,234603.0,6.6,,14038.0,,50.0,,27.9,1.1,,59.0,22.0,43.1,
"Allegan, MI",41.0,34.4,328433.0,4.4,,121939.0,25.8,21.4,3.4,19.9,3.9,4.4,53.0,12.7,41.3,3.0
"Allegany, MD",54.0,23.4,145858.0,4.5,,67273.0,20.0,4.6,,18.7,,9.1,55.0,13.6,42.2,
"Allegany, NY",45.0,16.8,122695.0,7.7,,47027.0,23.1,12.7,,13.7,0.0,,57.0,27.5,38.9,
"Alleghany, NC",61.0,49.6,268725.0,4.0,,11075.0,48.7,14.4,,14.8,0.9,,58.0,34.8,51.4,
"Alleghany, VA",46.0,21.0,168350.0,5.4,23.5,14962.0,52.0,8.5,,35.4,,,44.0,20.5,48.1,
"Allegheny, PA",46.0,8.2,237269.0,1.9,3.3,1224825.0,19.8,9.1,,21.1,0.5,7.1,49.0,10.1,40.6,1.0
