"Name","Days on Market","Days on Market Growth (YoY)","Home Value","Home Value Growth (YoY)","Inventory Surplus/Deficit","Population"
"Jerome, ID","52","-7.2%","$402,176","3.6%","78.9%","24,788"
"Twin Falls, ID","51","-0.9%","$375,483","2.7%","57.9%","95,156"
"Box Elder, UT","47","6.8%","$452,284","2.4%","118.9%","59,725"
"Oneida, ID","132","200.5%","$320,618","3.4%","58.5%","4,681"
"Minidoka, ID","65","51.7%","$319,033","3.9%","82.3%","21,922"
"Elko, NV","64","17.4%","$360,911","4.7%","17.0%","53,852"
"Power, ID","74","42.3%","$262,929","-0.3%","38.3%","8,018"
"Cassia, ID","50","-9.9%","$338,690","1.3%","61.7%","25,165"
"Custer, ID","81","-36.3%","$333,519","5.2%","3.2%","4,411"
"Bingham, ID","42","-25.0%","$373,849","4.0%","94.0%","48,993"
"Blaine, ID","71","-9.5%","$968,313","1.9%","-18.5%","24,579"
"Camas, ID","65","5.7%","$370,206","6.2%","19.6%","1,155"
"Tooele, UT","50","26.5%","$481,370","0.7%","94.5%","82,051"
"Jefferson, ID","45","1.1%","$467,411","5.3%","77.2%","32,234"
"Bonneville, ID","36","8.2%","$403,362","2.5%","76.1%","131,366"
"Bannock, ID","40","7.4%","$354,760","2.4%","68.1%","90,400"
"Gooding, ID","50","-25.0%","$348,658","1.5%","57.3%","15,740"
"Lincoln, ID","42","-48.7%","$321,538","7.0%","7.9%","5,276"
"Cheyenne, NE","72","11.7%","$159,363","5.6%","2.8%","9,478"
"Logan, CO","54","-6.1%","$251,910","3.3%","82.4%","21,067"
"Albany, WY","40","34.4%","$375,676","7.7%","32.2%","37,713"
"Sweetwater, WY","39","27.8%","$294,094","7.2%","-30.6%","41,786"
"Caribou, ID","60","152.6%","$317,549","6.1%","92.0%","7,118"
"Morgan, UT","44","-9.3%","$729,603","2.6%","66.6%","12,585"
"Hooker, NE","216","-24.7%","$117,201","0.3%","-40.0%","613"
"Sedgwick, CO","53","-39.7%","$165,828","7.7%","75.0%","2,346"
"Converse, WY","71","4.0%","$310,573","6.9%","-45.4%","13,759"
"Weld, CO","37","8.8%","$512,379","0.4%","60.4%","359,442"
"Routt, CO","59","39.6%","$1,112,039","3.6%","20.5%","24,990"
"Rich, UT","52","-8.7%","$594,367","2.5%","97.8%","2,588"
"Garden, NE","43","-70.3%","$180,525","9.7%","-45.9%","1,620"
