"Name","Sale Inventory Growth (YoY)","Sale Inventory Growth (MoM)","Home Sales Growth (YoY)","Price Cut %","Population Growth","Cap Rate"
"Sitka, AK","142.8%","47.8%","-66.6%","0.0%","-3.9%","-"
"Kodiak Island, AK","-26.0%","-6.9%","-33.3%","19.0%","-5.6%","-"
"Petersburg, AK","-12.0%","29.4%","200.0%","0.0%","4.2%","-"
"Wrangell, AK","5.5%","8.5%","0.0%","0.0%","-15.2%","-"
"Ketchikan Gateway, AK","47.8%","5.1%","-60.0%","11.7%","0.4%","-"
"Teton, MT","-40.0%","0.0%","-50.0%","16.6%","3.4%","-"
"Glacier, MT","-28.5%","33.3%","0.0%","14.8%","0.1%","-"
"Sanders, MT","12.0%","13.9%","-11.1%","29.2%","12.2%","-"
"Deer Lodge, MT","48.0%","15.1%","-72.7%","17.9%","4.5%","-"
"Granite, MT","-26.4%","-3.0%","66.6%","10.2%","4.5%","-"
"Jerome, ID","26.8%","14.8%","70.0%","18.0%","5.7%","3.2%"
"Twin Falls, ID","38.5%","13.3%","13.1%","26.7%","10.5%","4.9%"
"Elmore, ID","55.0%","16.2%","6.0%","24.5%","9.8%","5.3%"
"Ferry, WA","57.3%","13.4%","-50.0%","18.1%","-3.2%","-"
"Okanogan, WA","7.0%","41.4%","-38.2%","12.1%","2.8%","-"
"Owyhee, ID","-16.3%","-6.1%","-14.2%","33.3%","7.2%","2.3%"
"Gem, ID","35.2%","19.1%","-22.2%","41.7%","16.4%","2.3%"
"Canyon, ID","8.2%","4.3%","9.8%","24.3%","15.2%","4.3%"
"Yakima, WA","33.6%","13.0%","0.7%","20.8%","2.0%","4.2%"
"Multnomah, OR","21.4%","21.1%","9.3%","36.8%","-2.7%","3.1%"
"Modoc, CA","83.0%","2.8%","-75.0%","13.1%","-3.2%","-"
"Humboldt, NV","-2.9%","3.0%","-26.6%","16.2%","2.3%","-"
"Humboldt, CA","29.0%","15.6%","5.3%","32.4%","-1.7%","3.8%"
"Lake, OR","81.4%","8.8%","-33.3%","20.6%","5.2%","-"
"Lake, MT","30.2%","6.1%","-70.0%","21.1%","7.7%","2.9%"
"Silver Bow, MT","-11.4%","9.7%","-12.9%","12.6%","2.2%","5.9%"
"Box Elder, UT","73.1%","7.2%","-21.4%","26.1%","12.6%","-"
"Oneida, ID","41.9%","7.3%","-66.6%","28.5%","8.2%","-"
"Minidoka, ID","65.4%","3.8%","-38.4%","26.9%","6.3%","6.0%"
"Ada, ID","29.6%","24.7%","-1.6%","24.0%","11.6%","4.0%"
"Eureka, NV","100.0%","42.8%","0.0%","0.0%","-9.2%","11.4%"
"Kootenai, ID","12.5%","12.5%","-6.3%","18.0%","14.5%","3.5%"
"Stevens, WA","44.0%","21.9%","-27.7%","32.3%","7.3%","2.9%"
"Asotin, WA","29.2%","0.0%","-29.0%","30.7%","0.3%","3.5%"
"Wheeler, OR","28.5%","0.0%","100.0%","0.0%","0.5%","-"
