"Name","Home Price Forecast","Vacancy Rate","Investor Forecast","Price Cut %","Median Age","Housing Unit Growth Rate"
"Sitka, AK","59","15.9%","-","0.0%","39.6","-0.7%"
"Kodiak Island, AK","51","21.0%","-","19.0%","35.4","8.0%"
"Petersburg, AK","57","29.5%","-","0.0%","45.7","6.1%"
"Wrangell, AK","36","29.8%","-","0.0%","44.3","-12.2%"
"Ketchikan Gateway, AK","52","15.5%","-","11.7%","40.8","4.9%"
"Teton, MT","52","16.6%","-","16.6%","43.0","0.4%"
"Glacier, MT","54","21.9%","-","14.8%","34.2","-1.0%"
"Sanders, MT","50","19.6%","-","29.2%","54.6","0.2%"
"Deer Lodge, MT","44","17.1%","-","17.9%","49.6","6.0%"
"Granite, MT","50","47.2%","-","10.2%","53.9","-8.0%"
"Jerome, ID","34","6.0%","43","18.0%","33.6","3.2%"
"Twin Falls, ID","38","5.8%","64","26.7%","36.1","10.4%"
"Elmore, ID","37","10.8%","-","24.5%","32.5","-2.1%"
"Ferry, WA","39","23.5%","-","18.1%","52.8","-8.8%"
"Okanogan, WA","47","21.8%","-","12.1%","43.4","-4.5%"
"Owyhee, ID","44","11.5%","40","33.3%","38.3","-1.5%"
"Gem, ID","30","4.9%","42","41.7%","42.8","6.9%"
"Canyon, ID","41","4.5%","62","24.3%","35.1","19.2%"
"Yakima, WA","38","4.2%","54","20.8%","33.8","4.8%"
"Multnomah, OR","38","5.1%","35","36.8%","39.2","5.6%"
"Modoc, CA","49","31.6%","-","13.1%","49.0","-9.2%"
"Humboldt, NV","39","9.2%","-","16.2%","37.6","2.9%"
"Humboldt, CA","34","11.2%","34","32.4%","39.5","-0.0%"
"Lake, OR","40","18.9%","-","20.6%","45.9","-6.1%"
"Lake, MT","46","26.0%","-","21.1%","43.8","-2.2%"
"Silver Bow, MT","45","11.7%","56","12.6%","40.3","1.4%"
"Box Elder, UT","30","5.5%","-","26.1%","32.9","9.0%"
"Oneida, ID","32","6.3%","-","28.5%","40.2","3.7%"
"Minidoka, ID","32","7.8%","-","26.9%","34.5","4.8%"
"Ada, ID","43","3.8%","62","24.0%","38.8","17.0%"
"Eureka, NV","56","38.2%","-","0.0%","50.1","-13.1%"
"Kootenai, ID","43","10.1%","61","18.0%","42.2","14.0%"
"Stevens, WA","42","15.9%","52","32.3%","46.8","4.4%"
"Asotin, WA","41","7.1%","-","30.7%","45.5","1.4%"
"Wheeler, OR","37","26.7%","-","0.0%","57.3","-8.4%"
"Elko, NV","50","11.2%","-","15.9%","35.4","3.1%"
"San Juan, WA","49","35.9%","-","14.0%","56.7","-0.5%"
"Mason, WA","42","26.8%","-","27.5%","43.9","2.1%"
"Skamania, WA","31","15.8%","52","45.0%","48.6","1.3%"
"Polk, OR","42","6.4%","44","29.2%","38.1","8.8%"
"Grays Harbor, WA","33","18.3%","42","23.6%","43.4","2.5%"
"Wahkiakum, WA","40","8.2%","-","19.0%","54.8","2.7%"
"Pacific, WA","37","33.6%","-","22.7%","54.9","0.6%"
"Lane, OR","36","5.6%","52","35.7%","40.4","5.0%"
"Madison, MT","46","42.1%","-","9.8%","54.1","-8.6%"
"Shoshone, ID","33","19.2%","-","28.3%","45.1","-1.1%"
"Power, ID","41","8.5%","-","30.7%","33.9","-1.5%"
"Cassia, ID","38","8.3%","-","16.6%","33.1","3.5%"
"Boise, ID","34","36.9%","40","25.1%","53.5","1.9%"
"Boundary, ID","51","12.6%","-","19.0%","42.8","2.1%"
"Benewah, ID","48","15.4%","-","33.3%","46.0","0.0%"
"Latah, ID","42","7.8%","-","30.3%","30.7","3.8%"
"Baker, OR","37","16.3%","-","21.0%","47.6","-3.4%"
"Franklin, WA","37","3.6%","57","22.9%","31.3","11.3%"
"Morrow, OR","40","10.2%","48","26.6%","36.2","5.0%"
"Lander, NV","48","17.9%","-","0.0%","37.3","8.5%"
"Washoe, NV","39","10.1%","55","30.7%","39.1","11.3%"
"Chelan, WA","35","16.3%","49","15.6%","42.4","3.3%"
"Linn, OR","42","4.1%","49","30.0%","40.4","5.8%"
"Columbia, WA","50","14.6%","-","12.5%","52.1","2.7%"
"Columbia, OR","36","5.7%","51","34.9%","43.2","4.0%"
"Crook, OR","34","7.6%","67","30.4%","47.7","7.9%"
"Deschutes, OR","37","12.8%","67","28.0%","43.1","11.7%"
"Del Norte, CA","44","13.7%","-","13.3%","40.8","-1.9%"
"Lassen, CA","48","25.9%","-","15.7%","37.8","-4.1%"
"Shasta, CA","45","9.9%","57","24.3%","41.2","1.4%"
"Lewis and Clark, MT","50","10.2%","48","24.9%","42.0","7.7%"
"Lemhi, ID","42","27.7%","-","22.5%","53.1","-4.3%"
"Custer, ID","51","38.9%","-","10.5%","59.5","-0.5%"
"Spokane, WA","35","6.7%","58","28.4%","38.7","6.9%"
"Idaho, ID","51","26.0%","-","16.1%","49.6","1.3%"
"Nez Perce, ID","43","6.7%","-","22.0%","40.9","4.2%"
"Garfield, WA","42","13.9%","-","0.0%","52.6","-1.0%"
"Umatilla, OR","45","6.1%","39","29.6%","36.4","7.0%"
"Payette, ID","35","4.7%","-","32.5%","38.8","6.4%"
"Harney, OR","35","15.5%","-","8.5%","45.8","-4.1%"
"Whatcom, WA","41","11.1%","50","17.5%","38.5","7.5%"
"Kitsap, WA","40","7.6%","52","22.7%","40.4","4.3%"
"Sherman, OR","45","19.9%","-","0.0%","45.8","8.8%"
"Hood River, OR","46","11.6%","-","40.0%","40.2","4.1%"
"Cowlitz, WA","34","4.4%","44","33.1%","41.4","4.0%"
"Clark, ID","55","42.9%","-","0.0%","33.4","-20.3%"
"Clark, WA","37","3.9%","52","32.8%","39.2","13.1%"
"Josephine, OR","41","6.6%","43","32.8%","47.6","1.4%"
"Missoula, MT","45","5.5%","54","25.3%","37.7","6.1%"
"Ravalli, MT","49","10.9%","-","23.7%","48.9","6.5%"
"Clearwater, ID","48","22.6%","-","15.3%","52.0","0.1%"
"Bingham, ID","31","7.2%","-","29.1%","34.8","3.9%"
"Blaine, ID","53","37.7%","-","5.6%","45.5","2.6%"
"Camas, ID","48","51.1%","-","23.5%","34.9","-10.6%"
"Tooele, UT","28","3.8%","45","45.1%","32.0","14.7%"
"Bonner, ID","42","26.3%","-","20.1%","48.2","6.2%"
"King, WA","32","7.0%","42","22.9%","37.7","7.2%"
"Thurston, WA","40","5.4%","56","25.0%","40.3","7.4%"
"Tillamook, OR","42","38.1%","-","29.6%","48.9","1.0%"
"Clatsop, OR","43","22.1%","42","24.7%","45.2","4.2%"
"Pondera, MT","53","18.6%","-","22.8%","41.2","2.8%"
"Flathead, MT","44","13.4%","45","22.9%","41.7","7.1%"
"Mineral, MT","44","17.0%","60","27.2%","50.1","2.7%"
"Valley, ID","44","70.0%","-","14.9%","49.0","3.0%"
"Wallowa, OR","41","22.5%","-","20.7%","50.2","3.2%"
"Gilliam, OR","38","21.7%","-","0.0%","50.3","-0.8%"
"Jefferson, MT","42","9.2%","39","18.3%","47.3","5.3%"
"Jefferson, ID","32","5.7%","59","27.8%","32.3","13.7%"
"Jefferson, WA","46","16.5%","-","24.8%","59.5","4.8%"
"Jefferson, OR","33","17.1%","43","26.2%","41.3","4.3%"
"Pierce, WA","35","5.2%","54","26.8%","37.5","7.0%"
"Marion, OR","40","3.9%","49","27.8%","37.5","5.5%"
"Trinity, CA","45","33.8%","-","16.0%","54.8","-8.2%"
"Powell, MT","46","20.9%","-","8.3%","43.3","-7.1%"
"Bonneville, ID","32","6.6%","55","29.3%","34.0","10.7%"
"Bannock, ID","35","8.1%","45","24.1%","35.7","6.6%"
"Whitman, WA","44","15.4%","33","30.7%","26.1","2.9%"
"Union, OR","46","7.8%","-","24.4%","40.1","0.3%"
"Adams, ID","44","34.2%","-","24.4%","54.3","-0.6%"
"Adams, WA","37","7.9%","-","20.5%","29.2","4.8%"
"Walla Walla, WA","43","7.2%","57","22.1%","38.3","2.8%"
"Benton, OR","46","7.1%","52","26.2%","34.7","7.2%"
"Benton, WA","37","6.7%","58","26.8%","36.2","9.1%"
"Grant, OR","42","19.1%","-","17.1%","50.8","-5.6%"
"Grant, WA","31","14.5%","62","22.4%","34.0","7.6%"
"Malheur, OR","30","14.0%","-","28.8%","36.2","-1.3%"
"Skagit, WA","46","8.0%","59","26.1%","42.8","6.0%"
"Snohomish, WA","38","4.4%","41","22.7%","38.5","7.3%"
"Island, WA","40","17.8%","54","22.4%","45.7","1.9%"
"Clallam, WA","45","10.4%","-","26.5%","52.4","4.1%"
"Klickitat, WA","34","8.8%","-","30.0%","47.5","4.0%"
"Clackamas, OR","38","5.2%","43","40.0%","42.7","4.3%"
"Klamath, OR","40","8.9%","39","27.6%","40.5","-0.8%"
"Siskiyou, CA","42","18.0%","-","20.1%","47.4","-4.2%"
"Beaverhead, MT","45","17.1%","-","11.5%","43.4","-6.7%"
"Gooding, ID","42","9.6%","-","21.6%","38.4","-1.2%"
"Pend Oreille, WA","45","27.4%","-","11.8%","50.0","-2.1%"
"Washington, OR","30","3.6%","44","38.7%","38.6","6.0%"
"Washington, ID","46","10.8%","-","33.8%","44.6","-0.9%"
"Kittitas, WA","29","19.4%","37","24.2%","37.9","3.9%"
"Wasco, OR","38","13.9%","-","23.8%","40.5","3.8%"
